Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\20200928_Plate2_TP.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,9/28/2020,,,,,,,,,,,,,
Time,4:03:24 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,2.072,2.076,1.421,1.608,1.106,1.243,0.811,0.895,0.626,0.682,0.392,0.429,562:562
,B,0.253,0.221,0.108,0.109,0.085,0.086,0.083,0.084,0.56,0.689,1.024,1.248,562:562
,C,0.775,0.898,0.554,0.531,1.63,1.566,1.088,1.123,1.144,1.213,0.788,0.835,562:562
,D,1.582,1.435,1.292,1.273,0.868,0.8,0.817,0.803,1.567,1.561,0.708,0.748,562:562
,E,1.088,1.065,1.671,1.601,0.758,0.769,0.849,0.866,0.509,0.5,0.711,0.812,562:562
,F,0.73,0.801,1.137,1.123,0.818,0.833,0.741,0.801,1.514,1.561,0.981,1.129,562:562
,G,1.195,0.548,0.942,0.792,1.048,1.297,1.466,1.041,0.989,0.813,1.416,1.293,562:562
,H,1.073,1.07,0.824,1.013,0.903,0.793,0.595,0.619,0.681,0.523,0.484,0.671,562:562
