Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\20200928_Plate3_TP.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\BCA_Protein.prt,,,,,,,,,,,,,
Plate Number,Plate 3,,,,,,,,,,,,,
Date,9/28/2020,,,,,,,,,,,,,
Time,4:33:14 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,562,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,20.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,1.9,2.003,1.394,1.428,1.017,0.968,0.771,0.787,0.551,0.541,0.341,0.368,562:562
,B,0.243,0.241,0.111,0.108,0.08,0.08,0.076,0.077,1.365,1.484,0.651,0.744,562:562
,C,0.823,0.81,0.721,0.727,1.016,1.232,0.766,0.715,0.558,0.567,1.454,1.528,562:562
,D,0.897,0.769,1.269,1.256,1.354,1.474,0.633,0.649,1.133,1.274,1.129,1.239,562:562
,E,1.147,1.162,0.828,0.805,0.885,1.013,1.093,1.172,0.646,0.628,1.262,1.352,562:562
,F,1.328,1.406,1.106,1.207,0.565,0.566,1.288,1.363,1.718,2.013,1.252,1.41,562:562
,G,0.045,0.044,0.044,0.044,0.043,0.044,0.044,0.044,0.044,0.043,0.043,0.044,562:562
,H,0.044,0.044,0.044,0.045,0.044,0.044,0.044,0.044,0.044,0.045,0.044,0.043,562:562
