Well,562:562
A1,2.181
B1,0.287
C1,0.712
D1,1.537
E1,0.808
F1,0.896
G1,1.393
H1,2.069
A2,2.224
B2,0.271
C2,0.707
D2,1.51
E2,0.797
F2,0.817
G2,1.378
H2,2.443
A3,1.733
B3,0.118
C3,1.198
D3,1.442
E3,1.22
F3,1.473
G3,1.287
H3,1.982
A4,1.7
B4,0.118
C4,1.211
D4,1.459
E4,1.312
F4,1.546
G4,1.339
H4,2.062
A5,1.236
B5,0.086
C5,1.361
D5,1.606
E5,0.926
F5,2.235
G5,1.39
H5,0.697
A6,1.222
B6,0.089
C6,1.321
D6,1.59
E6,0.933
F6,2.258
G6,1.395
H6,0.708
A7,1.055
B7,1.675
C7,1.428
D7,2.018
E7,1.163
F7,1.399
G7,1.088
H7,1.284
A8,1.053
B8,1.733
C8,1.578
D8,2.345
E8,1.204
F8,1.48
G8,1.128
H8,1.266
A9,0.726
B9,0.822
C9,1.57
D9,0.899
E9,0.97
F9,0.773
G9,0.645
H9,1.579
A10,1.324
B10,0.793
C10,1.479
D10,0.931
E10,0.954
F10,0.797
G10,0.731
H10,1.606
A11,0.44
B11,1.214
C11,1.691
D11,1.097
E11,0.723
F11,1.195
G11,1.738
H11,0.938
A12,0.445
B12,1.288
C12,1.719
D12,1.152
E12,0.684
F12,1.274
G12,1.798
H12,0.95
