Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\20200109_chl_2.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/9/2020,,,,,,,,,,,,,
Time,8:42:40 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.7,,,,,,,,,,,,,
Actual Temperature:,22.7,,,,,,,,,,,,,
Actual Temperature:,22.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.03,0.032,0.047,0.054,0.038,0.031,0.035,0.032,0.036,0.073,0.05,0.071,630
,,0.028,0.031,0.093,0.115,0.038,0.031,0.036,0.032,0.035,0.069,0.049,0.07,663
,,0.028,0.031,0.03,0.035,0.037,0.03,0.034,0.03,0.035,0.067,0.047,0.067,750
,B,0.039,0.032,0.051,0.068,0.03,0.039,0.037,0.064,0.039,0.041,0.034,0.05,630
,,0.035,0.031,0.102,0.134,0.03,0.039,0.038,0.065,0.038,0.04,0.034,0.048,663
,,0.035,0.031,0.033,0.044,0.029,0.038,0.037,0.063,0.038,0.039,0.032,0.044,750
,C,0.031,0.032,0.05,0.037,0.036,0.042,0.034,0.037,0.033,0.077,0.048,0.046,630
,,0.031,0.032,0.049,0.036,0.035,0.041,0.034,0.037,0.032,0.08,0.047,0.051,663
,,0.03,0.032,0.049,0.036,0.034,0.038,0.034,0.037,0.032,0.067,0.045,0.045,750
,D,0.033,0.033,0.039,0.042,0.031,0.034,0.028,0.032,0.036,0.033,0.043,0.027,630
,,0.033,0.032,0.038,0.044,0.031,0.034,0.029,0.032,0.037,0.042,0.041,0.029,663
,,0.032,0.032,0.037,0.042,0.03,0.034,0.027,0.032,0.034,0.043,0.041,0.027,750
,E,0.049,0.032,0.07,0.031,0.028,0.037,0.027,0.033,0.036,0.038,0.038,0.034,630
,,0.048,0.031,0.061,0.03,0.029,0.036,0.027,0.033,0.036,0.039,0.039,0.034,663
,,0.047,0.031,0.056,0.03,0.027,0.036,0.026,0.033,0.035,0.041,0.039,0.033,750
,F,0.032,0.04,0.038,0.039,0.045,0.036,0.031,0.038,0.037,0.035,0.027,0.037,630
,,0.032,0.039,0.041,0.038,0.052,0.035,0.033,0.038,0.038,0.035,0.027,0.045,663
,,0.031,0.038,0.036,0.038,0.048,0.035,0.028,0.038,0.038,0.034,0.026,0.036,750
,G,0.076,0.038,0.034,0.038,0.041,0.03,0.034,0.037,0.035,0.028,0.034,0.047,630
,,0.068,0.038,0.034,0.038,0.062,0.032,0.045,0.04,0.045,0.032,0.038,0.066,663
,,0.066,0.037,0.033,0.037,0.036,0.029,0.03,0.041,0.03,0.028,0.034,0.034,750
,H,0.044,0.035,0.029,0.039,0.041,0.038,0.036,0.043,0.036,0.035,0.039,0.047,630
,,0.046,0.035,0.029,0.039,0.076,0.039,0.056,0.04,0.056,0.045,0.066,0.083,663
,,0.042,0.034,0.029,0.038,0.029,0.036,0.029,0.041,0.029,0.04,0.036,0.034,750
