Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\20200312_Plate1_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,3/12/20,,,,,,,,,,,,,
Time,1:19:32 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,29.9,,,,,,,,,,,,,
Actual Temperature:,29.9,,,,,,,,,,,,,
Actual Temperature:,29.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.028,0.027,0.106,0.115,0.062,0.072,0.065,0.098,0.055,0.064,0.052,0.057,630
,,0.027,0.027,0.31,0.362,0.133,0.161,0.184,0.229,0.137,0.159,0.132,0.146,663
,,0.027,0.027,0.036,0.034,0.036,0.044,0.035,0.031,0.029,0.033,0.028,0.03,750
,B,0.052,0.06,0.045,0.055,0.055,0.059,0.057,0.064,0.072,0.08,0.043,0.043,630
,,0.139,0.16,0.103,0.122,0.142,0.158,0.163,0.186,0.232,0.262,0.084,0.091,663
,,0.028,0.031,0.029,0.035,0.032,0.032,0.03,0.03,0.03,0.034,0.031,0.028,750
,C,0.063,0.07,0.084,0.092,0.07,0.075,0.048,0.051,0.074,0.081,0.061,0.07,630
,,0.164,0.195,0.324,0.377,0.213,0.241,0.109,0.122,0.271,0.298,0.169,0.196,663
,,0.032,0.036,0.028,0.029,0.027,0.028,0.031,0.031,0.029,0.032,0.03,0.033,750
,D,0.068,0.074,0.068,0.062,0.05,0.055,0.065,0.051,0.062,0.07,0.074,0.048,630
,,0.225,0.256,0.151,0.158,0.134,0.149,0.131,0.141,0.161,0.186,0.117,0.105,663
,,0.029,0.03,0.042,0.034,0.029,0.031,0.032,0.029,0.031,0.031,0.04,0.031,750
,E,0.064,0.068,0.039,0.043,0.04,0.044,0.071,0.075,0.062,0.068,0.066,0.073,630
,,0.173,0.192,0.078,0.087,0.081,0.091,0.2,0.227,0.165,0.186,0.183,0.204,663
,,0.028,0.027,0.028,0.03,0.028,0.029,0.03,0.029,0.031,0.035,0.03,0.032,750
,F,0.059,0.065,0.046,0.055,0.064,0.071,0.052,0.061,0.041,0.042,0.051,0.066,630
,,0.185,0.209,0.109,0.128,0.19,0.22,0.119,0.138,0.078,0.083,0.114,0.134,663
,,0.027,0.029,0.028,0.034,0.028,0.031,0.035,0.037,0.029,0.032,0.031,0.042,750
,G,0.074,0.077,0.047,0.051,0.063,0.07,0.059,0.061,0.064,0.07,0.048,0.056,630
,,0.205,0.224,0.099,0.112,0.183,0.212,0.155,0.171,0.153,0.176,0.11,0.124,663
,,0.032,0.031,0.029,0.032,0.03,0.033,0.034,0.032,0.034,0.035,0.028,0.036,750
,H,0.073,0.081,0.051,0.053,0.059,0.068,0.061,0.064,0.069,0.077,0.057,0.059,630
,,0.22,0.246,0.122,0.136,0.156,0.183,0.174,0.193,0.207,0.236,0.143,0.154,663
,,0.028,0.028,0.029,0.028,0.028,0.031,0.03,0.028,0.028,0.031,0.031,0.03,750
