"Plot Title: 20444027"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 20444027, SEN S/N: 20444027)","Coupler Detached (LGR S/N: 20444027)","Coupler Attached (LGR S/N: 20444027)","Host Connected (LGR S/N: 20444027)","Stopped (LGR S/N: 20444027)","End Of File (LGR S/N: 20444027)"
1,01/04/20 12:24:23  PM,75.681,,,,,
2,01/04/20 12:24:28  PM,,Logged,,,,
3,01/04/20 12:34:23  PM,75.074,,,,,
4,01/04/20 12:44:23  PM,74.206,,,,,
5,01/04/20 12:54:23  PM,73.688,,,,,
6,01/04/20 01:04:23  PM,73.558,,,,,
7,01/04/20 01:14:23  PM,73.558,,,,,
8,01/04/20 01:24:23  PM,73.688,,,,,
9,01/04/20 01:34:23  PM,73.774,,,,,
10,01/04/20 01:44:23  PM,73.861,,,,,
11,01/04/20 01:54:23  PM,73.731,,,,,
12,01/04/20 02:04:23  PM,73.472,,,,,
13,01/04/20 02:14:23  PM,73.472,,,,,
14,01/04/20 02:24:23  PM,73.558,,,,,
15,01/04/20 02:34:23  PM,73.774,,,,,
16,01/04/20 02:44:23  PM,73.861,,,,,
17,01/04/20 02:54:23  PM,73.774,,,,,
18,01/04/20 03:04:23  PM,73.688,,,,,
19,01/04/20 03:14:23  PM,73.558,,,,,
20,01/04/20 03:24:23  PM,75.074,,,,,
21,01/04/20 03:34:23  PM,76.636,,,,,
22,01/04/20 03:44:23  PM,75.681,,,,,
23,01/04/20 03:54:23  PM,76.289,,,,,
24,01/04/20 04:04:23  PM,76.899,,,,,
25,01/04/20 04:14:23  PM,76.464,,,,,
26,01/04/20 04:24:23  PM,75.810,,,,,
27,01/04/20 04:34:23  PM,75.420,,,,,
28,01/04/20 04:44:23  PM,74.813,,,,,
29,01/04/20 04:54:23  PM,74.727,,,,,
30,01/04/20 05:04:23  PM,74.770,,,,,
31,01/04/20 05:14:23  PM,74.813,,,,,
32,01/04/20 05:24:23  PM,74.856,,,,,
33,01/04/20 05:34:23  PM,74.856,,,,,
34,01/04/20 05:44:23  PM,74.683,,,,,
35,01/04/20 05:54:23  PM,74.467,,,,,
36,01/04/20 06:04:23  PM,74.424,,,,,
37,01/04/20 06:14:23  PM,74.295,,,,,
38,01/04/20 06:24:23  PM,74.250,,,,,
39,01/04/20 06:34:23  PM,74.206,,,,,
40,01/04/20 06:44:23  PM,74.077,,,,,
41,01/04/20 06:54:23  PM,73.904,,,,,
42,01/04/20 07:04:23  PM,73.731,,,,,
43,01/04/20 07:14:23  PM,73.602,,,,,
44,01/04/20 07:24:23  PM,73.774,,,,,
45,01/04/20 07:34:23  PM,73.861,,,,,
46,01/04/20 07:44:23  PM,73.990,,,,,
47,01/04/20 07:54:23  PM,74.120,,,,,
48,01/04/20 08:04:23  PM,74.206,,,,,
49,01/04/20 08:14:23  PM,74.295,,,,,
50,01/04/20 08:24:23  PM,74.424,,,,,
51,01/04/20 08:34:23  PM,74.511,,,,,
52,01/04/20 08:44:23  PM,74.511,,,,,
53,01/04/20 08:54:23  PM,74.250,,,,,
54,01/04/20 09:04:23  PM,73.990,,,,,
55,01/04/20 09:14:23  PM,73.904,,,,,
56,01/04/20 09:24:23  PM,73.904,,,,,
57,01/04/20 09:34:23  PM,73.904,,,,,
58,01/04/20 09:44:23  PM,73.861,,,,,
59,01/04/20 09:54:23  PM,73.861,,,,,
60,01/04/20 10:04:23  PM,73.818,,,,,
61,01/04/20 10:14:23  PM,73.774,,,,,
62,01/04/20 10:24:23  PM,73.774,,,,,
63,01/04/20 10:34:23  PM,73.731,,,,,
64,01/04/20 10:44:23  PM,73.731,,,,,
65,01/04/20 10:54:23  PM,73.731,,,,,
66,01/04/20 11:04:23  PM,73.688,,,,,
