Date,Run.Number,Start.Time,Stop.Time,Chamber,Channel,Position,Species,colony_id,Plug.ID,Site,Vol.ml,pH.mV,Temp.C,Salinity,Surface.Area,TA.Start.Time,TA.Stop.Time,Notes
20200909,1,12:00,13:34,1,1,4,Pocillopora,POC-386,386,3,,-64,28.8,36.58,,,,
20200909,1,11:59,13:38,2,2,5,Porites,POR-353,353,3,,-61,28.6,36.22,,,,
20200909,1,12:01,13:41,3,3,6,BK-1,BK-1,BK-1,3,,-60.9,28.5,36.2,,,,
20200909,1,11:59,13:43,4,4,1,Porites,POR-357,357,3,,-62.1,28.6,36.19,,,,
20200909,1,11:57,13:46,5,5,3,Pocillopora,POC-359,359,3,,-62.5,28.5,36.18,,,,
20200909,1,11:57,13:49,6,6,9,Pocillopora,POC-371,371,3,,-60.9,28.5,36.05,,,,
20200909,1,11:58,13:53,7,7,8,Pocillopora,POC-372,372,3,,-61.8,28.6,36.16,,,,
20200909,1,11:58,13:56,8,8,4,Pocillopora,POC-358,358,3,,-62.1,28.5,36.2,,,,
20200909,1,11:58,14:04,9,9,12,Pocillopora,POC-365,365,3,,-59.3,28.5,36.1,,,,
20200909,1,11:58,14:08,10,10,10,Pocillopora,POC-367,367,3,,-58.8,28.4,36.12,,,,
20200909,2,17:13,18:46,1,1,4,Porites,POR-355,355,3,,-62.5,28.1,36.61,,,,
20200909,2,17:14,18:50,2,2,5,Porites,POR-341,341,3,,-61.5,27.9,36.33,,,,
20200909,2,17:14,18:53,3,3,6,BK-2,BK-2,BK-2,3,,-61.6,27.9,36.22,,,,
20200909,2,17:14,18:58,4,4,1,Pocillopora,POC-378,378,3,,-63.7,28.1,36.42,,,,
20200909,2,17:14,18:59,5,5,3,Pocillopora,POC-369,369,3,,-63.7,28,36.42,,,,
20200909,2,17:15,19:02,6,6,9,Pocillopora,POC-395,395,3,,-66.2,27.9,36.36,,,,
20200909,2,17:15,19:04,7,7,8,Porites,POR-384,384,3,,-61.3,27.6,36.32,,,,
20200909,2,17:15,19:07,8,8,7,Porites,POR-383,383,3,,-62,27.9,36.32,,,,
20200909,2,17:15,19:10,9,9,12,Porites,POR-338,338,3,,-62.7,27.6,36.33,,,,
20200909,2,17:15,19:13,10,10,10,Porites,POR-349,349,3,,-61.6,27.7,36.28,,,,
20200912,3,11:25,12:58,1,1,4,Porites,POR-354,354,3,,-60.6,27.4,36.53,,,,
20200912,3,11:24,13:02,2,2,5,Porites,POR-340,340,3,,-60.8,27.6,36.35,,,,
20200912,3,11:25,13:04,3,3,6,Porites,POR-387,387,3,,-60.6,27.7,36.37,,,,
20200912,3,11:25,13:07,4,4,1,Pocillopora,POC-391,391,3,,-60.2,27.6,36.33,,,,
20200912,3,11:23,13:10,5,5,3,Acropora,ACR-364,364,3,,-60.5,27.8,36.28,,,,
20200912,3,11:23,13:13,6,6,9,Acropora,ACR-343,343,3,,-60.2,27.8,36.45,,,,
20200912,3,11:23,13:16,7,7,8,Porites,POR-362,362,3,,-60.5,27.5,36.27,,,,
20200912,3,11:25,13:19,8,8,7,Porites,POR-381,381,3,,-58.6,27.7,36.3,,,,
20200912,3,11:23,13:21,9,9,12,Porites,POR-373,373,3,,-61.9,27.9,36.67,,,,
20200912,3,11:26,13:24,10,10,10,BK-3,BK-3,BK-3,3,,-59.9,27.5,36.24,,,,
20200912,4,16:20,17:52,1,1,4,Acropora,ACR-229,229,2,,-62.7,27.1,36.73,,,,
20200912,4,16:20,17:55,2,2,5,Pocillopora,POC-255,255,2,,-61.8,27.1,36.49,,,,
20200912,4,16:20,17:58,3,3,6,Pocillopora,POC-219,219,2,,-60.6,27.1,36.28,,,,
20200912,4,16:20,18:01,4,4,1,Pocillopora,POC-377,377,3,,-60.6,27,36.34,,,,
