Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\Plate2_CHL_20200113.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/13/2020,,,,,,,,,,,,,
Time,12:10:23 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.6,,,,,,,,,,,,,
Actual Temperature:,22.6,,,,,,,,,,,,,
Actual Temperature:,22.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.027,0.027,0.068,0.06,0.22,0.094,0.064,0.075,0.174,0.164,0.132,0.131,630
,,0.027,0.027,0.16,0.149,0.262,0.161,0.172,0.177,0.27,0.263,0.35,0.344,663
,,0.027,0.028,0.043,0.035,0.162,0.07,0.034,0.046,0.137,0.128,0.053,0.056,750
,B,0.17,0.153,0.07,0.085,0.122,0.12,0.316,0.235,0.091,0.107,0.52,0.918,630
,,0.269,0.25,0.119,0.133,0.343,0.337,0.499,0.419,0.145,0.158,0.637,1.063,663
,,0.136,0.118,0.049,0.069,0.062,0.06,0.225,0.156,0.071,0.085,0.438,0.856,750
,C,0.083,0.081,0.089,0.078,0.06,0.071,0.085,0.102,0.132,0.117,0.068,0.068,630
,,0.226,0.228,0.17,0.156,0.136,0.161,0.185,0.205,0.384,0.366,0.116,0.117,663
,,0.033,0.031,0.063,0.053,0.035,0.042,0.052,0.068,0.05,0.037,0.052,0.051,750
,D,0.077,0.079,0.163,0.218,0.031,0.042,0.037,0.033,0.055,0.04,0.031,0.031,630
,,0.175,0.175,0.336,0.436,0.031,0.042,0.037,0.033,0.054,0.04,0.031,0.031,663
,,0.047,0.049,0.102,0.144,0.03,0.042,0.037,0.032,0.054,0.04,0.031,0.031,750
,E,0.049,0.033,0.044,0.037,0.03,0.042,0.036,0.032,0.051,0.035,0.043,0.04,630
,,0.049,0.033,0.044,0.037,0.03,0.042,0.036,0.032,0.051,0.035,0.043,0.04,663
,,0.047,0.033,0.044,0.037,0.03,0.041,0.036,0.032,0.05,0.034,0.042,0.04,750
,F,0.052,0.04,0.036,0.042,0.033,0.033,0.043,0.075,0.046,0.038,0.037,0.04,630
,,0.052,0.04,0.037,0.042,0.033,0.034,0.043,0.075,0.046,0.038,0.037,0.04,663
,,0.05,0.038,0.035,0.041,0.033,0.033,0.043,0.074,0.045,0.038,0.037,0.04,750
,G,0.038,0.042,0.029,0.034,0.033,0.032,0.037,0.043,0.039,0.04,0.036,0.038,630
,,0.038,0.042,0.029,0.035,0.033,0.032,0.038,0.043,0.039,0.04,0.036,0.038,663
,,0.038,0.042,0.029,0.034,0.033,0.032,0.037,0.043,0.038,0.039,0.035,0.038,750
,H,0.029,0.035,0.036,0.029,0.03,0.029,0.032,0.033,0.033,0.036,0.036,0.054,630
,,0.03,0.035,0.037,0.029,0.03,0.03,0.032,0.033,0.033,0.036,0.036,0.054,663
,,0.029,0.034,0.036,0.028,0.03,0.029,0.032,0.032,0.033,0.036,0.035,0.053,750
