Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\20200109_chl.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/9/20,,,,,,,,,,,,,
Time,8:32:27 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.5,,,,,,,,,,,,,
Actual Temperature:,22.5,,,,,,,,,,,,,
Actual Temperature:,22.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.028,0.031,0.048,0.057,0.044,0.038,0.067,0.092,0.059,0.063,0.049,0.081,630
,,0.029,0.034,0.095,0.13,0.079,0.067,0.168,0.252,0.136,0.12,0.074,0.19,663
,,0.03,0.031,0.03,0.034,0.033,0.029,0.034,0.039,0.031,0.049,0.037,0.043,750
,B,0.04,0.038,0.053,0.056,0.044,0.045,0.071,0.104,0.064,0.052,0.039,0.094,630
,,0.04,0.038,0.11,0.14,0.083,0.076,0.183,0.284,0.151,0.111,0.07,0.221,663
,,0.039,0.037,0.035,0.03,0.033,0.037,0.039,0.046,0.037,0.034,0.03,0.061,750
,C,0.04,0.052,0.054,0.057,0.062,0.049,0.092,0.04,0.053,0.079,0.065,0.071,630
,,0.072,0.118,0.096,0.129,0.161,0.096,0.285,0.062,0.12,0.222,0.168,0.207,663
,,0.029,0.03,0.042,0.036,0.032,0.033,0.032,0.033,0.03,0.037,0.037,0.031,750
,D,0.041,0.057,0.051,0.069,0.064,0.05,0.101,0.036,0.057,0.08,0.071,0.075,630
,,0.075,0.129,0.095,0.145,0.171,0.102,0.311,0.061,0.128,0.234,0.183,0.223,663
,,0.029,0.034,0.037,0.043,0.031,0.033,0.035,0.029,0.034,0.034,0.039,0.032,750
,E,0.051,0.061,0.106,0.082,0.06,0.075,0.061,0.043,0.076,0.05,0.068,0.08,630
,,0.083,0.166,0.301,0.175,0.137,0.208,0.149,0.089,0.194,0.089,0.168,0.239,663
,,0.041,0.031,0.043,0.031,0.037,0.034,0.035,0.03,0.033,0.035,0.035,0.03,750
,F,0.043,0.08,0.101,0.082,0.065,0.085,0.068,0.05,0.084,0.054,0.074,0.093,630
,,0.078,0.189,0.318,0.198,0.149,0.232,0.167,0.098,0.213,0.098,0.183,0.272,663
,,0.032,0.043,0.03,0.047,0.04,0.041,0.036,0.035,0.038,0.039,0.046,0.042,750
,G,0.089,0.06,0.059,0.052,0.092,0.074,0.048,0.057,0.052,0.05,0.075,0.07,630
,,0.218,0.144,0.14,0.111,0.217,0.194,0.096,0.084,0.113,0.112,0.21,0.175,663
,,0.05,0.032,0.037,0.032,0.039,0.038,0.034,0.039,0.033,0.032,0.032,0.04,750
,H,0.077,0.057,0.067,0.056,0.091,0.087,0.054,0.044,0.054,0.054,0.081,0.085,630
,,0.218,0.151,0.153,0.118,0.235,0.214,0.107,0.078,0.12,0.122,0.228,0.196,663
,,0.035,0.032,0.04,0.033,0.042,0.047,0.038,0.032,0.032,0.055,0.034,0.047,750
