Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\September_E5\20200928_Plate3_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,9/28/2020,,,,,,,,,,,,,
Time,8:52:19 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,23.8,,,,,,,,,,,,,
Actual Temperature:,23.8,,,,,,,,,,,,,
Actual Temperature:,23.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.032,0.028,0.1,0.09,0.119,0.125,0.117,0.126,0.101,0.114,0.073,0.074,630
,,0.027,0.028,0.245,0.252,0.366,0.406,0.369,0.406,0.291,0.326,0.177,0.185,663
,,0.027,0.028,0.045,0.03,0.033,0.029,0.031,0.031,0.035,0.043,0.032,0.03,750
,B,0.033,0.033,0.033,0.038,0.033,0.035,0.031,0.039,0.041,0.039,0.039,0.042,630
,,0.032,0.032,0.032,0.037,0.031,0.033,0.031,0.034,0.033,0.033,0.035,0.036,663
,,0.031,0.036,0.03,0.036,0.03,0.032,0.03,0.033,0.03,0.03,0.033,0.035,750
,C,0.037,0.04,0.033,0.033,0.044,0.036,0.034,0.038,0.049,0.061,0.067,0.066,630
,,0.032,0.035,0.032,0.031,0.041,0.033,0.03,0.032,0.037,0.047,0.053,0.053,663
,,0.029,0.034,0.031,0.03,0.04,0.033,0.03,0.03,0.032,0.039,0.044,0.046,750
,D,0.047,0.034,0.032,0.032,0.037,0.029,0.033,0.032,0.047,0.061,0.057,0.054,630
,,0.047,0.033,0.032,0.032,0.037,0.029,0.031,0.032,0.045,0.057,0.046,0.044,663
,,0.046,0.033,0.031,0.031,0.035,0.028,0.029,0.032,0.043,0.053,0.039,0.038,750
,E,0.031,0.036,0.035,0.04,0.046,0.043,0.029,0.039,0.052,0.05,0.065,0.061,630
,,0.031,0.035,0.034,0.039,0.043,0.042,0.029,0.038,0.047,0.047,0.065,0.057,663
,,0.03,0.034,0.033,0.037,0.041,0.041,0.028,0.036,0.045,0.045,0.063,0.053,750
,F,0.037,0.031,0.039,0.032,0.034,0.037,0.033,0.036,0.043,0.047,0.04,0.049,630
,,0.034,0.03,0.038,0.031,0.033,0.033,0.03,0.035,0.037,0.04,0.034,0.036,663
,,0.031,0.029,0.037,0.03,0.032,0.032,0.029,0.034,0.034,0.037,0.032,0.031,750
,G,0.036,0.036,0.035,0.037,0.036,0.045,0.041,0.052,0.037,0.036,0.051,0.038,630
,,0.035,0.035,0.034,0.034,0.033,0.042,0.033,0.044,0.033,0.034,0.042,0.032,663
,,0.034,0.034,0.032,0.033,0.032,0.04,0.03,0.04,0.032,0.032,0.037,0.03,750
,H,0.033,0.032,0.043,0.036,0.038,0.038,0.034,0.049,0.036,0.043,0.032,0.032,630
,,0.032,0.031,0.04,0.034,0.036,0.037,0.032,0.045,0.035,0.041,0.031,0.031,663
,,0.032,0.03,0.037,0.032,0.035,0.035,0.03,0.042,0.033,0.04,0.031,0.03,750
