Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\September_E5\20200928_Plate2_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,9/28/2020,,,,,,,,,,,,,
Time,8:41:43 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,23.6,,,,,,,,,,,,,
Actual Temperature:,23.6,,,,,,,,,,,,,
Actual Temperature:,23.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.027,0.084,0.134,0.136,0.218,0.213,0.144,0.156,0.135,0.13,0.07,0.078,630
,,0.027,0.054,0.202,0.221,0.487,0.527,0.278,0.309,0.254,0.259,0.178,0.2,663
,,0.027,0.03,0.091,0.101,0.093,0.082,0.084,0.088,0.099,0.074,0.028,0.029,750
,B,0.074,0.157,0.124,0.146,0.149,0.168,0.156,0.165,0.212,0.182,0.121,0.069,630
,,0.12,0.217,0.182,0.226,0.241,0.273,0.27,0.293,0.462,0.464,0.215,0.187,663
,,0.03,0.105,0.077,0.098,0.102,0.118,0.111,0.116,0.106,0.062,0.069,0.03,750
,C,0.061,0.077,0.125,0.145,0.16,0.112,0.115,0.117,0.176,0.181,0.142,0.109,630
,,0.122,0.123,0.184,0.214,0.239,0.205,0.147,0.155,0.457,0.473,0.306,0.307,663
,,0.031,0.049,0.084,0.096,0.11,0.062,0.082,0.082,0.059,0.049,0.051,0.033,750
,D,0.091,0.135,0.119,0.172,0.204,0.217,0.11,0.135,0.177,0.155,0.066,0.057,630
,,0.218,0.268,0.281,0.353,0.468,0.497,0.2,0.232,0.372,0.378,0.118,0.111,663
,,0.041,0.065,0.051,0.096,0.093,0.087,0.064,0.081,0.089,0.065,0.044,0.03,750
,E,0.056,0.101,0.118,0.121,0.115,0.126,0.098,0.077,0.072,0.073,0.056,0.058,630
,,0.125,0.172,0.237,0.257,0.167,0.186,0.154,0.14,0.144,0.156,0.113,0.12,663
,,0.028,0.05,0.063,0.059,0.084,0.094,0.065,0.038,0.038,0.035,0.033,0.035,750
,F,0.087,0.082,0.114,0.133,0.184,0.203,0.083,0.094,0.053,0.057,0.12,0.119,630
,,0.199,0.212,0.307,0.349,0.555,0.609,0.212,0.235,0.128,0.142,0.342,0.363,663
,,0.035,0.029,0.03,0.037,0.034,0.037,0.034,0.036,0.029,0.03,0.036,0.032,750
,G,0.056,0.06,0.094,0.103,0.074,0.073,0.083,0.09,0.109,0.1,0.124,0.105,630
,,0.137,0.151,0.268,0.298,0.182,0.19,0.224,0.252,0.265,0.28,0.259,0.257,663
,,0.028,0.028,0.028,0.029,0.037,0.029,0.03,0.032,0.04,0.03,0.059,0.042,750
,H,0.059,0.057,0.068,0.073,0.07,0.077,0.084,0.093,0.08,0.074,0.088,0.098,630
,,0.132,0.138,0.175,0.192,0.18,0.198,0.236,0.259,0.197,0.21,0.275,0.3,663
,,0.035,0.03,0.028,0.029,0.029,0.03,0.03,0.03,0.032,0.028,0.028,0.031,750
