Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\September_E5\20200928_Plate1_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,9/28/2020,,,,,,,,,,,,,
Time,8:07:41 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.6,,,,,,,,,,,,,
Actual Temperature:,22.6,,,,,,,,,,,,,
Actual Temperature:,22.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.028,0.026,0.091,0.104,0.106,0.092,0.112,0.115,0.083,0.085,0.071,0.068,630
,,0.027,0.025,0.203,0.24,0.219,0.214,0.268,0.292,0.192,0.211,0.166,0.18,663
,,0.028,0.026,0.031,0.041,0.059,0.041,0.061,0.051,0.029,0.03,0.031,0.028,750
,B,0.073,0.088,0.154,0.186,0.149,0.147,0.14,0.159,0.114,0.1,0.06,0.059,630
,,0.207,0.234,0.399,0.476,0.359,0.378,0.343,0.391,0.236,0.225,0.132,0.138,663
,,0.028,0.038,0.072,0.103,0.105,0.091,0.086,0.107,0.101,0.067,0.03,0.029,750
,C,0.065,0.086,0.133,0.133,0.125,0.102,0.113,0.105,0.113,0.215,0.053,0.046,630
,,0.141,0.179,0.261,0.259,0.228,0.207,0.22,0.212,0.222,0.274,0.093,0.098,663
,,0.028,0.05,0.112,0.105,0.102,0.065,0.09,0.071,0.085,0.108,0.029,0.028,750
,D,0.058,0.084,0.093,0.111,0.121,0.111,0.089,0.103,0.082,0.092,0.074,0.065,630
,,0.146,0.18,0.209,0.241,0.23,0.224,0.141,0.158,0.169,0.2,0.179,0.188,663
,,0.027,0.036,0.065,0.08,0.098,0.078,0.089,0.102,0.051,0.062,0.03,0.03,750
,E,0.049,0.088,0.105,0.095,0.083,0.114,0.13,0.162,0.083,0.102,0.048,0.049,630
,,0.105,0.151,0.151,0.148,0.176,0.224,0.288,0.326,0.192,0.219,0.105,0.113,663
,,0.028,0.058,0.098,0.086,0.052,0.085,0.075,0.09,0.053,0.06,0.029,0.028,750
,F,0.045,0.053,0.078,0.092,0.085,0.081,0.078,0.083,0.089,0.1,0.056,0.06,630
,,0.07,0.082,0.121,0.144,0.191,0.198,0.21,0.23,0.218,0.252,0.141,0.157,663
,,0.03,0.033,0.061,0.079,0.053,0.042,0.04,0.036,0.032,0.032,0.028,0.029,750
,G,0.086,0.091,0.072,0.048,0.087,0.07,0.074,0.08,0.071,0.078,0.062,0.057,630
,,0.28,0.286,0.119,0.106,0.175,0.163,0.213,0.238,0.216,0.242,0.144,0.156,663
,,0.029,0.032,0.048,0.03,0.049,0.036,0.028,0.028,0.031,0.032,0.032,0.028,750
,H,0.055,0.056,0.052,0.052,0.068,0.077,0.081,0.088,0.044,0.048,0.06,0.064,630
,,0.138,0.138,0.119,0.131,0.183,0.207,0.229,0.255,0.093,0.101,0.152,0.166,663
,,0.028,0.028,0.03,0.028,0.027,0.031,0.028,0.028,0.028,0.029,0.028,0.028,750
