Date,Time,Position,PAR,Notes
20200104,9:15,1,550,"sunny, clear skies"
20200104,9:15,2,580,"sunny, clear skies"
20200104,9:15,3,530,"sunny, clear skies"
20200104,9:15,4,550,"sunny, clear skies"
20200104,9:15,5,490,"sunny, clear skies"
20200104,9:15,6,500,"sunny, clear skies"
20200104,9:15,7,470,"sunny, clear skies"
20200104,9:15,8,420,"sunny, clear skies"
20200104,10:00,1,565,NA
20200104,10:00,2,560,NA
20200104,10:00,3,510,NA
20200104,10:00,4,515,NA
20200104,10:00,5,470,NA
20200104,10:00,6,435,NA
20200104,10:00,7,390,NA
20200104,10:00,8,390,NA
20200104,10:40,1,371,"sunny, partial cloud cover"
20200104,10:40,2,353,"sunny, partial cloud cover"
20200104,10:40,3,341,"sunny, partial cloud cover"
20200104,10:40,4,331,"sunny, partial cloud cover"
20200104,10:40,5,310,"sunny, partial cloud cover"
20200104,10:40,6,309,"sunny, partial cloud cover"
20200104,10:40,7,287,"sunny, partial cloud cover"
20200104,10:40,8,292,"sunny, partial cloud cover"
20200104,11:15,1,530,"sunny, partial cloud cover"
20200104,11:15,2,555,"sunny, partial cloud cover"
20200104,11:15,3,570,"sunny, partial cloud cover"
20200104,11:15,4,560,"sunny, partial cloud cover"
20200104,11:15,5,535,"sunny, partial cloud cover"
20200104,11:15,6,460,"sunny, partial cloud cover"
20200104,11:15,7,465,"sunny, partial cloud cover"
20200104,11:15,8,430,"sunny, partial cloud cover"
20200104,11:55,1,515,"sunny, partial cloud cover"
20200104,11:55,2,500,"sunny, partial cloud cover"
20200104,11:55,3,480,"sunny, partial cloud cover"
20200104,11:55,4,478,"sunny, partial cloud cover"
20200104,11:55,5,450,"sunny, partial cloud cover"
20200104,11:55,6,400,"sunny, partial cloud cover"
20200104,11:55,7,400,"sunny, partial cloud cover"
20200104,11:55,8,345,"sunny, partial cloud cover"
20200104,12:25,1,405,"sunny, partly overcast"
20200104,12:25,2,400,"sunny, partly overcast"
20200104,12:25,3,390,"sunny, partly overcast"
20200104,12:25,4,355,"sunny, partly overcast"
20200104,12:25,5,350,"sunny, partly overcast"
20200104,12:25,6,325,"sunny, partly overcast"
20200104,12:25,7,280,"sunny, partly overcast"
20200104,12:25,8,290,"sunny, partly overcast"
20200104,13:10,1,575,"sunny, partly overcast"
20200104,13:10,2,570,"sunny, partly overcast"
20200104,13:10,3,560,"sunny, partly overcast"
20200104,13:10,4,530,"sunny, partly overcast"
20200104,13:10,5,510,"sunny, partly overcast"
20200104,13:10,6,470,"sunny, partly overcast"
20200104,13:10,7,440,"sunny, partly overcast"
20200104,13:10,8,425,"sunny, partly overcast"
20200104,13:50,1,660,"sunny, clouds moving away"
20200104,13:50,2,670,"sunny, clouds moving away"
20200104,13:50,3,620,"sunny, clouds moving away"
20200104,13:50,4,630,"sunny, clouds moving away"
20200104,13:50,5,565,"sunny, clouds moving away"
20200104,13:50,6,570,"sunny, clouds moving away"
20200104,13:50,7,540,"sunny, clouds moving away"
20200104,13:50,8,540,"sunny, clouds moving away"
20200104,14:25,1,640,"sunny, few clouds"
20200104,14:25,2,630,"sunny, few clouds"
20200104,14:25,3,635,"sunny, few clouds"
20200104,14:25,4,615,"sunny, few clouds"
20200104,14:25,5,560,"sunny, few clouds"
20200104,14:25,6,530,"sunny, few clouds"
20200104,14:25,7,490,"sunny, few clouds"
20200104,14:25,8,420,"sunny, few clouds"
20200104,14:55,1,580,"sunny, few clouds"
20200104,14:55,2,570,"sunny, few clouds"
20200104,14:55,3,570,"sunny, few clouds"
20200104,14:55,4,560,"sunny, few clouds"
