Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\November_E5_EEM\CHL\20201118_Plate3_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,11/18/2020,,,,,,,,,,,,,
Time,4:04:48 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,25.7,,,,,,,,,,,,,
Actual Temperature:,25.7,,,,,,,,,,,,,
Actual Temperature:,25.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.026,0.027,0.083,0.093,0.065,0.058,0.088,0.097,0.068,0.081,0.05,0.053,630
,,0.026,0.027,0.246,0.288,0.143,0.146,0.292,0.322,0.173,0.176,0.109,0.115,663
,,0.026,0.027,0.03,0.031,0.032,0.028,0.034,0.037,0.032,0.028,0.029,0.029,750
,B,0.053,0.054,0.07,0.076,0.072,0.078,0.05,0.05,0.065,0.06,0.06,0.066,630
,,0.132,0.136,0.18,0.194,0.195,0.216,0.114,0.118,0.16,0.167,0.164,0.175,663
,,0.028,0.028,0.03,0.032,0.03,0.031,0.031,0.031,0.034,0.03,0.029,0.033,750
,C,0.052,0.059,0.048,0.049,0.075,0.078,0.065,0.071,0.055,0.056,0.07,0.069,630
,,0.115,0.127,0.091,0.094,0.213,0.229,0.162,0.18,0.145,0.15,0.201,0.208,663
,,0.03,0.034,0.034,0.029,0.036,0.033,0.033,0.034,0.034,0.03,0.032,0.029,750
,D,0.049,0.044,0.092,0.099,0.089,0.11,0.046,0.065,0.061,0.064,0.05,0.039,630
,,0.096,0.097,0.297,0.332,0.267,0.307,0.092,0.117,0.144,0.154,0.061,0.065,663
,,0.034,0.028,0.032,0.032,0.028,0.037,0.029,0.044,0.034,0.035,0.03,0.029,750
,E,0.041,0.043,0.043,0.045,0.062,0.066,0.059,0.061,0.059,0.062,0.057,0.058,630
,,0.081,0.089,0.089,0.095,0.154,0.171,0.137,0.154,0.145,0.157,0.136,0.147,663
,,0.029,0.029,0.029,0.028,0.029,0.029,0.028,0.028,0.031,0.029,0.03,0.028,750
,F,0.056,0.061,0.06,0.065,0.129,0.066,0.061,0.065,0.043,0.044,0.044,0.044,630
,,0.139,0.157,0.154,0.173,0.214,0.176,0.16,0.174,0.086,0.092,0.086,0.089,663
,,0.028,0.028,0.028,0.03,0.073,0.032,0.029,0.03,0.029,0.028,0.031,0.03,750
,G,0.049,0.052,0.064,0.072,0.058,0.064,0.061,0.067,0.059,0.064,0.065,0.067,630
,,0.116,0.131,0.156,0.172,0.15,0.168,0.165,0.182,0.157,0.175,0.171,0.183,663
,,0.03,0.03,0.032,0.036,0.031,0.032,0.028,0.029,0.028,0.029,0.03,0.029,750
,H,0.08,0.084,0.059,0.06,0.052,0.053,0.053,0.053,0.067,0.072,0.052,0.054,630
,,0.247,0.257,0.147,0.156,0.124,0.133,0.112,0.119,0.181,0.197,0.124,0.133,663
,,0.031,0.031,0.029,0.028,0.03,0.029,0.029,0.029,0.029,0.029,0.029,0.029,750
