Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\November_E5_EEM\CHL\20201118_Plate1_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,11/18/2020,,,,,,,,,,,,,
Time,3:12:50 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,25.4,,,,,,,,,,,,,
Actual Temperature:,25.4,,,,,,,,,,,,,
Actual Temperature:,25.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.027,0.027,0.06,0.073,0.101,0.13,0.082,0.076,0.078,0.08,0.081,0.084,630
,,0.028,0.027,0.141,0.15,0.292,0.33,0.19,0.199,0.219,0.231,0.23,0.243,663
,,0.028,0.027,0.029,0.034,0.029,0.038,0.033,0.032,0.03,0.029,0.029,0.029,750
,B,0.103,0.111,0.092,0.097,0.093,0.119,0.073,0.067,0.072,0.065,0.067,0.075,630
,,0.31,0.333,0.177,0.196,0.189,0.229,0.129,0.133,0.163,0.173,0.175,0.204,663
,,0.028,0.029,0.038,0.036,0.035,0.057,0.031,0.03,0.03,0.028,0.03,0.03,750
,C,0.048,0.053,0.121,0.121,0.135,0.115,0.075,0.091,0.089,0.079,0.061,0.067,630
,,0.104,0.111,0.234,0.24,0.262,0.252,0.091,0.117,0.207,0.21,0.147,0.155,663
,,0.03,0.032,0.059,0.062,0.081,0.061,0.046,0.065,0.034,0.032,0.029,0.036,750
,D,0.089,0.094,0.168,0.176,0.103,0.14,0.095,0.092,0.114,0.092,0.054,0.098,630
,,0.234,0.252,0.49,0.527,0.253,0.304,0.153,0.156,0.249,0.247,0.111,0.158,663
,,0.034,0.032,0.043,0.037,0.038,0.076,0.064,0.058,0.044,0.031,0.032,0.073,750
,E,0.092,0.1,0.088,0.093,0.066,0.07,0.06,0.062,0.068,0.071,0.086,0.071,630
,,0.268,0.286,0.234,0.257,0.116,0.127,0.121,0.128,0.17,0.184,0.162,0.157,663
,,0.029,0.031,0.034,0.032,0.035,0.039,0.032,0.033,0.029,0.03,0.05,0.04,750
,F,0.065,0.069,0.06,0.062,0.088,0.093,0.049,0.044,0.083,0.1,0.069,0.074,630
,,0.17,0.185,0.142,0.15,0.253,0.274,0.088,0.087,0.22,0.244,0.161,0.17,663
,,0.029,0.03,0.031,0.03,0.03,0.029,0.034,0.029,0.034,0.041,0.035,0.037,750
,G,0.063,0.066,0.06,0.064,0.074,0.075,0.069,0.073,0.097,0.111,0.062,0.064,630
,,0.152,0.163,0.139,0.148,0.198,0.209,0.188,0.199,0.284,0.313,0.146,0.154,663
,,0.03,0.03,0.03,0.03,0.031,0.03,0.031,0.033,0.03,0.036,0.033,0.034,750
,H,0.078,0.08,0.064,0.078,0.085,0.084,0.064,0.068,0.115,0.134,0.065,0.067,630
,,0.213,0.219,0.167,0.186,0.22,0.232,0.17,0.186,0.346,0.38,0.161,0.167,663
,,0.031,0.031,0.03,0.04,0.036,0.032,0.029,0.03,0.032,0.045,0.031,0.032,750
